id,genre,track_name,artist_name,valence,energy
4gzsuuZypVbxs0Af1LSZyB,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,0.138,0.703
5CZ40GBx1sQ9agT82CLQCT,['pop'],traitor,Olivia Rodrigo,0.0849,0.339
6wyhUr4Xw8z5uSy0AhoZfU,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",I'M ON ONE (feat. Drake),Future,0.113,0.707
1SOClUWhOi8vHZYMz3GluK,"['modern rock', 'pop']",Infinity,Jaymes Young,0.494,0.673
3DarAbFujv6eYNliUTyqtz,"['dance pop', 'pop']",Kiss Me More (feat. SZA),Doja Cat,0.781,0.705
0LnS7aOdOdI1dNKZqdOLz4,"['deep underground hip hop', 'kentucky hip hop', 'rap']",Dua Lipa,Jack Harlow,0.405,0.652
4XvcHTUfIlWfyJTRG0aqlo,"['brooklyn drill', 'nyc rap']",2055,Sleepy Hallow,0.638,0.512
27NovPIUIRrOZoCHxABJwK,"['lgbtq+ hip hop', 'pop']",INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.894,0.704
6qONYDmRz1s7Msz0yVDHMB,"['speedrun', 'video game music']",Set It Off,League of Legends,0.816,0.747
7jftylvYTpTrQVTWNlwxcB,"['dfw rap', 'melodic rap', 'rap']",Motley Crew,Post Malone,0.325,0.629
43PGPuHIlVOc04jrZVh9L6,['chicago rap'],RAPSTAR,Polo G,0.437,0.536
6LG2kCL9HLP0gEfv2slGuC,"['hip hop', 'rap', 'southern hip hop', 'trap']",Space Cadet (feat. Gunna),Metro Boomin,0.628,0.463
2BITQ360Knh6qNAOqR7Dyq,"['melodic rap', 'rap', 'trap']",Miss The Rage (feat. Playboi Carti),Trippie Redd,0.369,0.859
1zOOl8f7qkjj0AmvlCfLyQ,['electro house'],The Drum,Alan Walker,0.33,0.762
5XKZua8kqgHwcxeKiMIjge,"['dark trap', 'underground hip hop']",AirplaneMode,BONES,0.548,0.601
6CDzDgIUqeDY5g8ujExx2f,"['gauze pop', 'indietronica', 'shiver pop']",Heat Waves,Glass Animals,0.531,0.525
3CLSHJv5aUROAN2vfOyCOh,[],Close Eyes,DVRST,0.209,0.572
2swRdG3vAk5bYBR3oSf1cg,[],BM (London View),OTP,0.8,0.522
02kDW379Yfd5PzW5A6vuGt,"['rap', 'trap']",Lemonade,Internet Money,0.471,0.66
1HvTxgCj0mTzQlEo0zLvFb,"['brooklyn drill', 'melodic rap', 'nyc rap']",In My Head,Lil Tjay,0.407,0.545
7nc7mlSdWYeFom84zZ8Wr8,"['plugg', 'pluggnb']",Tell Em,Cochise,0.473,0.717
7oHmtTCo9RpZFgwA203wIR,"['deep underground hip hop', 'kentucky hip hop', 'rap']",Tyler Herro,Jack Harlow,0.797,0.738
0N0h5lXc4HOiLgGb9EZi8m,[],Rocking A Cardigan in Atlanta,lil Shordie Scott,0.816,0.64
27XMmSWSOXJ7eVb40tH93T,"['sad lo-fi', 'sad rap']",MEMORIES!,347aidan,0.31,0.381
0uxSUdBrJy9Un0EYoBowng,"['melodic rap', 'philly rap', 'rap', 'trap']",20 Min,Lil Uzi Vert,0.783,0.75
3LkWdvgrJtFuM0ZoXKPlpH,"['edm', 'electropop', 'hyperpop', 'indie poptimism', 'tropical house', 'vapor soul', 'vapor twitch']","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)",Whethan,0.296,0.787
6Jrdb6CFOJEGaHjaa6c4WR,[],IDGAF (with blackbear),BoyWithUke,0.88,0.75
2WYs5LxOZfEyURXu7V0O1a,['aesthetic rap'],Stay With Me,1nonly,0.335,0.844
2ZRo7axmMPeSVUvDbGkJah,"['emo rap', 'miami hip hop']",Hope,XXXTENTACION,0.225,0.457
11kDth1aKUEUMq9r1pqyds,"['hip hop', 'rap', 'slap house', 'trap']",5% TINT,Travis Scott,0.062,0.481
3oLe5ZILASG8vU5dxIMfLY,"['hip hop', 'pop rap', 'rap']",The Search,NF,0.37,0.789
4i11n6N7xIBKsHvTBupusV,['chicago rap'],Martin & Gina,Polo G,0.156,0.513
1vicAuW47ccp1l5mYmaWi7,['uk hip hop'],No Time (feat. Lil Durk),KSI,0.446,0.725
3K1E9RAuMzC9g0ig3KsBBr,"['melodic rap', 'pop rap']",V12 (feat. Lil Uzi Vert),iann dior,0.626,0.681
4GxkWWIISsrlYtLtGqefpM,['aesthetic rap'],90mh,Trefuego,0.224,0.43
4d16JADh71pTeqx0vlHL69,['sad rap'],Chanel Bag,KillBunk,0.698,0.614
6f5ExP43esnvdKPddwKXJH,['scandipop'],Better Days (NEIKED x Mae Muller x Polo G),NEIKED,0.699,0.671
33gwZOGJWEZ7dRWPqPxBEZ,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Wolves (feat. Post Malone),Big Sean,0.325,0.675
1r9xUipOqoNwggBpENDsvJ,"['modern rock', 'rock']",Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.555,0.783
5uEYRdEIh9Bo4fpjDd4Na9,"['hip hop', 'rap', 'slap house', 'trap']",Goosebumps - Remix,Travis Scott,0.808,0.593
7BbaIYAdi3pg4MGl6PHwPv,['pluggnb'],MonÃ«y so big,Yeat,0.353,0.575
0YQEWdfq3ajtNtK106Dr0k,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']",Shinigami Eyes,Grimes,0.0768,0.691
62vpWI1CHwFy7tMIcSStl8,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",No Role Modelz,J. Cole,0.463,0.521
00Blm7zeNqgYLPtW6zg8cj,"['dfw rap', 'melodic rap', 'rap']",One Right Now (with The Weeknd),Post Malone,0.688,0.781
3HsFSrIsbO54TFDfG66pZm,"['emo rap', 'pop rap', 'sad rap']",By the Sword,iamjakehill,0.781,0.76
2MbdDtCv5LUVjYy9RuGTgC,"['deep underground hip hop', 'kentucky hip hop', 'rap']","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,0.835,0.723
5HCyWlXZPP0y6Gqq8TgA20,['australian hip hop'],STAY (with Justin Bieber),The Kid LAROI,0.478,0.764
6bhgpD7OkCATudfKJ50JB6,"['rap', 'trap']",Options (feat. 24kGoldn),Internet Money,0.795,0.781
3J8EOeKLTLXORtWPpOU5bE,"['brooklyn drill', 'melodic rap', 'nyc rap']",Calling My Phone,Lil Tjay,0.202,0.393
3XOalgusokruzA5ZBA2Qcb,"['atl hip hop', 'melodic rap', 'rap', 'trap']",pushin P (feat. Young Thug),Gunna,0.488,0.422
1xIqDFx3KdByBnKMlTECcM,['chill drill'],Coming for You (feat. A1 x J1),SwitchOTR,0.842,0.481
1r8ZCjfrQxoy2wVaBUbpwg,['australian hip hop'],Thousand Miles,The Kid LAROI,0.203,0.657
4IlqQhaxrGPxmg35YcXXuS,['chicago house'],Dancin - Krono Remix,Aaron Smith,0.28,0.727
7FIWs0pqAYbP91WWM0vlTQ,"['detroit hip hop', 'hip hop', 'rap']",Godzilla (feat. Juice WRLD),Eminem,0.829,0.745
4A8cWXxKfIL3lAyUDzXbCF,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']",Super Gremlin,Kodak Black,0.106,0.414
6ChnGkBwnq2HUJD24YhMhW,['sad lo-fi'],"Living Life, In The Night",Cheriimoya,0.255,0.496
5IUtvfNvOyVYZUa6AJFrnP,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",Spicy (feat. Post Malone),Ty Dolla $ign,0.118,0.51
1rDQ4oMwGJI7B4tovsBOxc,"['deep underground hip hop', 'kentucky hip hop', 'rap']",First Class,Jack Harlow,0.324,0.563
5W8HXMOMLtXLz0RGKUtnlZ,['piano rock'],"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",Skylar Grey,0.233,0.692
2Y0wPrPQBrGhoLn14xRYCG,"['chicago rap', 'melodic rap']",Come & Go (with Marshmello),Juice WRLD,0.535,0.814
6wJYhPfqk3KGhHRG76WzOh,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",Blueberry Faygo,Lil Mosey,0.349,0.554
1tkg4EHVoqnhR6iFEXb60y,['brooklyn drill'],What You Know Bout Love,Pop Smoke,0.543,0.548
7zjEyeBsaw9gV0jofJLfOM,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Livin It Up (with Post Malone & A$AP Rocky),Young Thug,0.765,0.313
5MLreTrtwv7fGyyAy0RyeB,['nyc rap'],See Me Fall - Y2K Remix,Ro Ransom,0.131,0.829
4vzJrkfHbCGaodPA5RY5BV,['drill brasileiro'],Loading,Central Cee,0.694,0.68
4TIqzdAssasqx3DAe6cG9J,"['boston hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",Ramen & OJ,Joyner Lucas,0.165,0.571
3i6sCTU7ENlnHpHvrHUitW,"['chicago rap', 'melodic rap']",Sometimes,Juice WRLD,0.0759,0.58
706ZrLifsm0nwlucKr4kQg,"['aesthetic rap', 'florida rap', 'rap', 'underground hip hop', 'vapor trap']",Like Me (feat. iann dior),$NOT,0.646,0.462
5pmvv42h1bcK3frE8CEblt,"['brooklyn drill', 'melodic rap', 'nyc rap']",Run It Up,Lil Tjay,0.671,0.575
6MGRweoLPBAaPcXTMpMWsA,"['cali rap', 'pop rap']",Coco (feat. DaBaby),24kGoldn,0.528,0.783
7Bpx2vsWfQFBACRz4h3IqH,"['hip hop', 'rap']",family ties (with Kendrick Lamar),Baby Keem,0.144,0.611
7sFbyqorRtT9oBoArzBQkS,"['chicago drill', 'chicago rap', 'drill', 'rap', 'southern hip hop', 'trap']",PTSD,G Herbo,0.832,0.813
