id,genre,track_name,artist_name,valence,energy
1NaVUGFvEIRDODWvkMNb6e,"['adult standards', 'mellow gold', 'soft rock']","When A Man Loves A Woman - Bolton Live! Royal Albert Hall, London",Michael Bolton,0.347,0.562
7z0xCVXPn6gESV6dygIj5W,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",A Little Respect - Live in Nashville,Erasure,0.366,0.802
1WSMOF5Smc8oD3oX9d4wgh,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",Take My Breath Away - Live,Berlin,0.551,0.76
6P9X7AlQzsCvAL8J9fTfnP,"['adult standards', 'disco', 'hollywood', 'mellow gold', 'soft rock']","Evergreen (Love Theme from ""A Star Is Born"") - Live",Barbra Streisand,0.0933,0.143
2Smji1HNCbqpFFMtrrzPHN,"['dance pop', 'dance rock', 'europop']","Feel - Live at Live 8, Hyde Park, London, 2nd July 2005",Robbie Williams,0.303,0.742
4CbFaTmshnLTEKYS2v3t2L,['pop'],She Will Be Loved - Live,Maroon 5,0.481,0.87
7mHjo6TCCMmYk5zQ9jlMBX,"['europop', 'swedish pop']",Take A Chance On Me - Live,ABBA,0.388,0.848
4gLEaNDI7wk8SJNqyprEAd,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock']",Alone - Live,Heart,0.069,0.33
4QFUMf4xUJxQDgUway3OCl,['german pop rock'],Lemon Tree - Acoustic Live Version,Fools Garden,0.648,0.799
7bj48SzqJPtfoR5W01C1lT,"['mellow gold', 'rock drums', 'soft rock']",Another Day in Paradise (Live from the Serious Tour 1990) - Remastered,Phil Collins,0.494,0.69
2lCnjCnm8j3zV342OCBqOI,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']","Go West - Live at Live 8, Red Square, Moscow, 2nd July 2005",Pet Shop Boys,0.25,0.889
6gwepzUdnGY46ZWtQ4iayD,"['adult standards', 'mellow gold', 'soft rock']","How Am I Supposed To Live Without You - Bolton Live! Royal Albert Hall, London",Michael Bolton,0.332,0.222
2QNYws5syWtS1WWq2ueza9,"['neo mellow', 'pop', 'pop rock']",Goodbye My Lover - Live in Ireland,James Blunt,0.475,0.33
4Y5QFo0iMJ7j1zpzVjGt9D,"['album rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']","Footloose - Live at Live Aid, John F. Kennedy Stadium, 13th July 1985",Kenny Loggins,0.229,0.974
1ztxPjZDC6K616WTPMzsaz,"['british soul', 'neo soul', 'sophisti-pop']",Smooth Operator - Live,Sade,0.65,0.811
3ZjFsZkqkLlbzncALtnQLf,"['dance pop', 'pop']",Hung Up - Live,Madonna,0.28,0.825
3J7wlFKE3cF5iZA1gODpRF,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Lost - Live from Madison Square Garden,Michael Bublé,0.268,0.342
4nKfwUyunCQQEp0ljZ2H0I,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']","West End Girls - Live at the O2 Arena, London - 21 December 2009",Pet Shop Boys,0.552,0.963
5LDbaK02vE0NI0h04kqHCP,"['glam rock', 'mellow gold', 'piano rock']","Don't Go Breaking My Heart - Live at Live Aid, Wembley Stadium, 13th July 1985",Elton John,0.446,0.995
